"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
284258,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A a S","A Superior"
324835,"Sin Registro","0","Sin Especialidad","no existe","no existe"
327399,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
327401,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
327401,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
337379,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
328394,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
332210,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
332208,"Sin Registro","0","Sin Especialidad","no existe","no existe"
320157,"Sin Registro","0","Sin Especialidad","no existe","no existe"
329807,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
337143,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
339912,"Consultor","3.5.","Modelos Hidraulicos","2da","Segunda"
339912,"Consultor","4.5.","Obras Fluviales","2da","Segunda"
339914,"Consultor","3.5.","Modelos Hidraulicos","2da","Segunda"
